"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Cat,Daniel,Daniel,16,Oriental Shorthair
Cat,Kitty,Kitty,16,Dsh
Dog,Daisy Mae,Daisy,11,Golden Retriever
Dog,Bug,Bug,6,Jack Russel Mutt
Dog,Rayven,Ray,6,German Shepherd
Dog,puppy girl,Puppy,4,Jack Russell
Dog,beyoncé,beyoncé,2,Chihuahua
Dog,Pippa Mad,Pippa,2,Havanese
Dog,Tails Balboa,Tails,14,Chihuahua
Dog,Tara Balboa,Tara,6,Chihuahua
Dog,Mia,Mimi,1,Chihuahua
Dog,Slainte,Slainte,12,Chiweenie
Cat,Persephone,Persnuffy,11,Unknown
Cat,Piper,Pipes,1,Unknown
Cat,Belle,Tiny Kitten,12,Unknown
Cat,Nyx,Nyxapooski,8,Unknown
Dog,Clyde Frog the Dog,Clyde,3.75,Yellow Labrador
Cat,Baby Tiger,Tiger bub,11,Unknown
Cat,Havoc,BB,2,Unknown
Dog,Asher,Ashie,9,Golden Retriever
Dog,Miley,Miley,13.5,Mutt
Cat,Tux,Monsieur Tux,2,Unknown
Horse,Paisley Desert Melody,Melody,7,Mustang (horse)
Dog,Suzie,Suzie,5,Chocolate Lab
Dog,Joshua,Joshie,9,Golden Retriever
Dog,Kona Kai,Kona,2,"Mutt: Half Terrific, Half Amazing (most Likely Golden Retriever/german Shepherd"
Cat,Simba,Simba,6,Dsh (he Orange)
Dog,Charlie,Charlie,11,Boston Terrier X Pug
Turtle,Lucky,Lucky,Unknown,Desert Tortoise
Cat,Duncan,Duncan,5.5,N/a
Dog,Lucky,Lucky,4,Lab Retriever
Dog,Lily Ann,Lily,3,Golden Retriever
Dog,Robbie,Robbie,10,West Highland White
Dog,Chance,Chance,4,Lab Retriever
Cat,Mir Hector,Mir,11.5,Domestic Shorthair
Cat,Clover,Clo,3,Unknown
Cat,Lacerta Grace,Laci,11,Domestic Shorthair
Dog,McGregor,Gregs,11,Scottish Terrier
Cat,Mosephus,Mo,Deceased,Unknown
Dog,Maggie,"Mags, maggals",6,Corgi
Dog,Boo Radley Beauregard,Boo,5,Hound Mix
Cat,Pictor James,Pictor,8,Lynx Point Siamese
Cat,Yellowie,Old man,19,Unknown
Cat,Sylvio,Syl,14,Unknown
Dog,Jean Louise,Scout,2.5,Golden Retriever
Cat,Cooper Kent DeGroat,Cooper/Tooper,1,Tuxedo Cat
Dog,Java Joe,Joe,0.134615385,Corgi
Dog,Heidi hoho,Heidi,7,Rescue
Dog,Finlay Heisenberg,Finn,8,Shetland Sheepdog
Cat,Porkchop,Porkie,4,Rescue
Dog,Nala Belle,Nala,11,Golden Retriever
Cat,Lila,Lielee,10,Domestic Longhair
Dog,Matelin Paco Junior,Mate,9,Australian Shepherd
Cat,Applesauce,Apple,2,Rescue
Dog,Eddie,Eddie,8,Chihuahua
Dog,Sir Thompson Squigglebutt,Tommy,7,Chihuahua
Dog,Miss Kasey Bubbles,Kasey,8,English Setter
Dog,Angel,Angel,9,Golden Retriever
Dog,Loosie,Goose,15,Whippet
Bird,Ruby,Ruby,2,Parakeet
Dog,Sophie,Sophie,14,Whippet
Lizard,Robert,Robbie,1,Leopard Gecko
Dog,Douglas,Douglas,10,Basset Hound
Dog,Zoi,Z,1,English Setter
Cat,Menke,Menke,4,Manx
Dog,Jasper,Jasper,14,Whippet
Dog,Rupert,Roo,3,Basset Hound
Dog,Spencer,Spence,10,Pointer
Dog,Sir Clyde Bootsie Sideeye,Clyde,11,Chihuahua
Dog,Daisy Mae,Daisy,7,Goldendoodle
Dog,Teddy Bear,Teddy,11,Chow Chow/australian Shepard
Dog,Edward Gene,Eddy,15,Golden Retriever
Dog,Peaches Monroe,Peaches,4,Jack Russell Terrier
Dog,Sir Nicholas,Nick,9,Corgi/jack Russell
Dog,Eowyn,Eo,13,Shih Tzu
Dog,Jayden,Denden,8,Shih Tzu
Dog,Joey,Jo,1,Golden Retriever
Dog,Walker Texas Ranger,Wally,1,Labrador Mix
Dog,Mike Mussina,Moose,1,Labrador Mix
Cat,Azuca,Zucchini,8,Unknown
Cat,Lady Bluebelle,Bluebelle,16,Dmh
Dog,Demon Deacon,Deke,13,Golden Retriever
Dog,benny the tiny von hudehoff,Benny,5,Yorkshire
Dog,Jacky,Jack,3,Golden Retriever
Dog,Gigi,Gigi,10,Golden Retriever
Dog,Liontamer’s Nelson M Mandela,Nelson,2,Rhodesian Ridgeback
Dog,Toby,Toby,12,Golden Retriever
Dog,Sugar,Sugar,13,Mix
Cat,Rey,Rey,2,Unknown
Dog,Mackley,Mackey,4,American Bulldog
Cat,Gordon BaNarNar,Gordon,6,Tabby
Dog,Sugar,Sugar,5,Golden Retriever
Dog,Minnie,Minnie,10,Min Pin
Dog,Meeko letang,Bubby,3,Rough Collie
Cat,Mephistopheles,Felix,11,Dsh
,der leibhaftige Teufel,,,Unknown
,Lord of the Underworld,,,Unknown
,Bringer of Darkness,,,Unknown
Dog,Oddjob,Jobby,11,Puggle
Cat,River,River,8,Orange Tabby (dsh)
Dog,Charleston Wesley,Charlie,1,Goldendoodle
Dog,Shelby,Shelb,0.25,Mutt
Dog,Barracuda,Cuda,0.25,Gsd Mix
Hamster,Lilapution Marie,Lilla,0,Unknown
Dog,Daisy,Daisy,5,Chocolate Lab Mix
Dog,Moose Van Haus Huenink,Moose,3,Rottweiler
Dog,Princess Bella Marie,Bella,11,Mini Dachshund/beagle Mix
Hamster,Turtle Dove,Turtle,0,Syrian
Dog,Geno Stoneycreek Pugh,Beans,2,Rottweiler
Cat,Axel daxel,Axel,9,Domestic Shorthair
Fish,Michael Lee,Michael,11,Beta
Cat,Babe Ruthy,Babe,9,Domestic Shorthair
Dog,Sadie Mae,Sadie,6,German Shorthaired Pointer
Chinchilla,Stanley,Stan Bug,0,Unknown
Dog,Ruby Sue,Ruby,3,Blue Tick Coon Hound
Rabbit,Richard Fineman,Richie,4,Unknown
Dog,Zoey,Zoey/zozo,8,Golden Retriever
Dog,Apollo,Apollo,10,Boxer
Dog,Petey,Pete,11,Lab Mix
Cat,Scuto,Scutie,10,Burmese
Dog,Sadie Blue,Sadie,9,Border Collie Mix
Dog,Mira,Weetum,13.5,Lab/greyhound
Dog,Ginger,Ginger,’810,Staffordshire Mix
Cat,Cookie Dough,Miss Dough,6,Cat
Tortoise,Kachu,Kachu,4,Unknown
Dog,Hairy Potter,Hairy,12,Smol Terrier
Dog,Cricket,Crickita,Deceased,"Half Schitzu, Half Long Haired Miniature Dachshund"
Dog,Xenia Marie,Xenia,8,German Shepherd
Guinea Pig,Potato,Tot,3,Abyssinian Guineapig
Dog,Daisy Mae,Daisy,12,Cairn Terrier
Chinchilla,Ashe,Ashe,3,American Standard Chinchilla
Fish,Mr. Moesby,Mr. Moesby,3,Goldfish (common)
Fish,Helen,Helen,3,Goldfish (tiny)
Dog,Skylar,Sky dog,15,Mini Aussie
Dog,Maybus Dogstoevsky,Maybe,11,Treeing Walker Coonhound
Dog,Kahlua,"Louie, LouLou, KaHULA, FlufferNutter",7,Mini Aussie
Cat,Foster,Foster,13,Domestic Shorthair - Gray Tabby
Cat,Reese,Reese,13,Calico/domestic Shorthair
Dog,Maggie pie thatcher,Maggie,0.333333333,Blue Lacy
Dog,Ashildr,Ashy,1,Boxer
Dog,Elsa,Stinky poo poo,4/1/2002,German Shepherd
Dog,Belle,Stinky poo poo too,4/1/2002,Golden Retriever
Cat,Mufasa,Mufasa,14,Yellow Tabby Long Hair
Dog,Zeus,Zeusy,8,Jack Russel Mix
Guinea Pig,Niblet,Fat pig,4,Guinea Pig
Dog,Molly,Miss Pants,6,Lab Mix
Cat,Valerie Spaceship Pizza Party,Bubba,6,Domestic Shorthair
Hamster,Penelope,Penne,1,Syrian
Cat,Peanut,Peenie paneenie,0.333333333,Calico
Cat,Jupiter,Monsieur Jups,6,Domestic Shorthair
Dog,Chip,"Chippy, Chipper, Dumbo, or Chipper Dipper",13.5,Yellow Lab
Dog,Chewustuffer Asshole,Chewy,2,Golden Retriever
Dog,Sailor Moon,Either Sailor or Moon,4,Newfoundland
Dog,Navigator’s Sipsey River PrinceS,Sipsey,11,Labrador Retriever
Dog,Buddy,Bud,9,Border Collie
Dog,Brown Butter Biscuit,Biscuit,12,Labrador Retriever
Dog,Millie,Lil mil,13,Shih Tsu Cross
Dog,Jonah,Jonah,5,Lab/collie
Dog,Diggs,Diggs,9,Australian Cattle Dog
Bird,Gudlaguba,guba,2,Unknown
Dog,Herman,"Hermie, Herm-Derm, Herbie, Herm-Worm",14,Dachshund
Cat,Isis,Isis,9,Domestic Shorthair
Dog,Datsyuk,Datsyuk,0.666666667,Shepherd Mix
Dog,Nightwing,Nightwing,6,Lhasa Apso / Maltese
Dog,Isabella,Bella,5,German Shepard/ Australian Shepard
Dog,Princess Buttercup,Princess,4,Lhasa Apso / Maltese
Dog,Sir Jake of Zoar,Jake,11,Yellow Lab
Cat,Michael Theodore Wazowski,Mike,2,Fuzzball
Dog,Scout,Scout,6,King Charles
Dog,Aluxe,Aluxe,14,Poodle
Dog,Brownie,Brownie,11,King Charles
Cat,Catsby,Catsby,12,Domestic Shorthair
Rabbit,Clementine the Lemon,Clem,7,Unknown
Dog,Shelby May,Shelbs,6.083333333,Terrier Mix
Dog,Mr. Henry Midas Darcy,Henry,7,Golden Retriever
Cat,Hermes,Hermes,10,Unknown
Dog,Annie Reese,Annie,11,Husky/corgi Mix
Dog,Blackjack,Blackjack,3,Lab And Pit Mix
Cat,Dolly Madison,Dolly,11,American Shorthair
Cat,Franklin Roosevelt,Franklin,16,Siamese
Cat,Abby,Abby,2.5,Unknown
Dog,Jaden,Jaden,,8 Years
Dog,Sophie,Soph,9,Golden Retriever
Cat,Elizabeth Bennet,"Elizabeth, no!",13,Domestic Longhair
Cat,Amadeus,Booboo,13,Domestic Longhair
Dog,Petey,Petey,11,Golden Retriever
Dog,Jack,Jackson,11,Golden Retriever
Dog,Bella,Bell,8,Puggle
Dog,Starsky Buford,Starsky,7,Foxhound (i Think)
Prairie Dog,Beatrice,Trixie,5,Mexican Black Tailed
Dog,Quito,Kiki,4,Lab/apbt/great Dane/gsd/australian Cattle Dog/rottweiler (embark Confirmed)
Dog,Wiggins,Wiggs,3,Black Lab Basset Houd Mix
Bird,Aretha,The broody one,1,Black Star Hen
Snake,Stanley,Stanley,1,Ball Python
Dog,Bella,Smelly Belly,13,Weimaraner
Hermit Crab,Golddigger,Goldie,Unknown,Australian
Dog,Maple,"Mapie, Mapes",5,Shiba Inu
Dog,Sara,Sara,7,Polish Tatra Sheepdog
Bees,Professor McGongall (the queen),Hogwarts (the hive),0.25,Unknown
Dog,Clementine,Clem,5.5,Coonhound
Dog,Ali May,Ali,12,Lab Mix
Dog,Aspen,Ass-pen,3,Coonhound
Dog,Amber,Amber,2,German Pointer
Guinea Pig,Diego,Dego Bear,3,Unknown
Guinea Pig,Linus,Linus,1,American Guinea Pig
Dog,Coquine,Ti-Chat,15,Maltese
Guinea Pig,Colby,Colbs,3,Unknown
Dog,Medley May,Med head/big medley,8,Great Dane
Dog,Maggie,Mag bag,3,Great Dane
Dog,Finn Jethro,Finny,7,Poodle
Dog,Tallulah Lilac,Lulah,4,Poodle
Dog,Bear,Bear,6,Husky - Shepherd - Collie
Cat,Fuji,Worm,9,Domestic House Cat
Dog,Emily,Emily,7,American Pitbull
Dog,Winifred Yankeestaff Arnone,Winnie,13,English Staffordshire Bull Terrier
Dog,Bella,Bella,9,Shih Tzu
Dog,Mocha Latte,Moch,2,Retriever/pitbull
Dog,Bentley Rockstaff Jardine Arnone,Bentley,0.833333333,English Staffordshire Bull Terrier
Cat,Lili,Lili,11,Russian Blue
Dog,Freddie Mercury,Freddie,15,Mini Schnauzer
Dog,Einstein Pancake,Einstein,11,Shih Tzu/ Poodle
Cat,Kit Marlowe,Marlowe,11,Domestic Shorthair-tabby
Dog,Sir Eggs Benedict,Benny,2.5,Pembroke Welsh Corgi
Dog,Bandit,Ban ban,8,Husky
Cat,Beauregard Montgomery Cat,Beau,3,Black And White
Dog,Mac,Mac,5,Border Collie
Dog,Shepherd E Stoltzfus,Shep,5,Border Collie
Dog,Cinnamon,Chinamon,4,Golden Lab
Rabbit,Greta,Greta,13,Mini Rex
Dog,Rocky Ciroc,Ciroc,6,Bichon Frise
Cat,Cloudy,Cloudy,9,Unknown
Cat,Sunny,Sunny,5,Unknown
Dog,Jack,Jack,2,Miniature Dachshund
Dog,Baldrick of Blackadder Bob,Bob,14,Miniature Schnauzer
Dog,Danny,Danny,Deceased,Pomeranian - Indian Mongrel Mix
Dog,Troy,Sweetie,9,Pit Mix
Dog,Lavender,Lav,8,Pit Bull
Dog,Buddy,Mr. B,6,Golden Retriever
Dog,Chase,Chase,6,Boxer
Dog,Charlotte,Charlie,8,Mostly Border Collie (though She Does Not Behave Like One)
Dog,Ice,Ice,14,Sharpei/dachshund Mix
Fish,Alpha (the Beta),Alpha,0.083333333,Unknown
Dog,Dolly,Dolly,7.5,Lab Mix
Dog,Geoffrey,Geoffrey,1,Maltipoo
Rabbit,Aragorn,Strider,5,Dwarf Lop
Rabbit,Arwen,Arwen,4,Lion Head Dwarf Lop
Dog,Holly,Holly,8.5,Golden Retriever
Dog,coco pollybird,Coco,10,Cocker Spaniel
Dog,Tim,Tim,12,Beagle
Dog,Magui Josefina Primera Mercado,Moñoñito,16,English Cocker Spaniel
Turtle,Robustiana,Robby,5,Unknown
Dog,Scooby,Scoob,Unknown,American Cocker Spaniel
Dog,Balto José,Bartolo,6,Unknown
Bird,Lulú Anastasia,Pollo,16,Unknown
Dog,Xena Badass McAwesome Princess Flufflepuffs of the Ashen Fields of Mordor,Xena,6,Golden Retriever
Dog,Wilbur,Wilby,6,French X British Bulldog
Dog,Rowena Ravenclaw,Puppy,3,Rhodesian Ridgeback
Dog,Magnificent,Maggie,7,King Charles/papillon Mix
Dog,Nova,Scoosh,0.583333333,Cocker Spaniel
Dog,Penny,Penny,12,Ray Terrier
Cat,Jasper,Jasper,8,Unknown
Dog,Maisie taters,Maisie,2,Hound Mix
Dog,Guinness,Guinness,9,Australian Shepherd
Dog,Johnny Bee,Johnny,5,Boxer Mix
Cat,Emma,Emma-zoo,21,Calico
Dog,Mayflower,May,12,Labrador
Cat,Benjamin,Ben,6,Unknown
Dog,Roscoe,Roscoe,13,Beagle
Cat,Pitted bear,Pits,6,Unknown
Cat,Lily,Lily,20,Unknown
Cat,Maggie,Maggie,19,Unknown
Cat,Tom,Tomsl,18,British Shorthair
Cat,Gerri,Gerri,17,British Shorthair
Dog,Ashley,Ashley,5,English Cocker Spaniel
Other,Moritz,Mori,8,None
Dog,Janis,Janis,7,Unknown
Dog,Leonardo,Leo,7,Pekingese
Rabbit,Cheeky,Twatty,5,Unknown
Cat,Tyler,Doofus,11,Domestic Shorthair
Dog,Ceili Kibbles,Ceili (pronounced K-Lee),10,Golden Retriever
Cat,Kiki,Kikster,11,Domestic Shorthair
Dog,Charlie,Charlie,0.416666667,Bernese Mountain Dog
Cat,Oreo,Oreo,0.25,Shorthair
Cat,Ichi,Itch,8,Unknown
Fish,Mussel,Muss,3,Unknown
Dog,Mango,Mango,2,Unknown
Hamster,Muffin,Muffin,2,Unknown
Dog,Rufus,Roofie,14,Golden Retriever
Dog,Daisy,Daze,0.333333333,Golden Retriever
Dog,Lily,Lils,13,Golden Retriever
Dog,Bertie,Bertie Boy,0.333333333,Golden Retriever
Dog,Max,Bear,7,Akita
Dog,Molly,Moo,7,Beagle
Dog,Poppy,Poppy dog,2,Golden Retriever
Dog,Daisy,Daisy dog,2,Golden Retriever
Cat,Nica-Nu,Nica-NO-GIVE-THAT-BACKQ,1.75,British Shorthair
Cat,Meredith,Mer,8,Unknown
Dog,Koda,Koda,9,Golden Retriever
Dog,Elwood,Elwood,9,Golden Retriever
Dog,Jake,Jakey,9,Golden Retriever
Cat,Blizzard,White,13,Unknown
Cat,Hemingway,Hemi,9,Unknown
Cat,George,Porge,11,Unknown
Dog,Miles,Miles,8,Labrador
Cat,Sherbert,Sherbert,1,Unknown
Cat,Liesje,Liesje,5,Tortoise Shell
Dog,Indiana,Indy,10,Springer Spaniel
Cat,Diego Maradona,Degs,3,Unknown
Dog,Maximus Harvey,Max,2,Golden Retriever
Cat,Paco,PAC man,2,Unknown
Dog,Douglas Ray Richardson the Third,Doug,6,Red Heeled
Guinea Pig,Wilbur,Wilbur,1,N/a
Guinea Pig,Vincent,Vinnie,1,N/a
Dog,Harley,Gnarly,4,Pug
Tortoise,Taco,Taco,≈7,Russian Tortoise
Dog,Buster,Busty,14,Jack Russell
Dog,Alfie,Alfie Dude,14,Jack Russell
Dog,Mila,Mila,9,Mixed Breed Boomer
Dog,Zero,Boydog,10,Rhodesian Ridgeback
Rabbit,Cirkeline,Cirkeline,7,Mixed
Dog,Bella Nina,Bella,7,German Shepherd
,Thomas James,Tom,4,Border Collie
,Archie,Archie,0.333333333,German Shepherd
Cat,Mao. (As in Chairman Mao,Mao,14,Moggy
,not miaow or Mayo.,,,Unknown
Dog,Briggs,Briggy,10,Lab Mix
Dog,Mya (The Dog),My,13,Yellow Lab
Cat,Dee Dee,Dee,13,Unknown
Dog,Neela,Neely,8,Shih Tzu
Dog,Hank,Hankle,2,Blue Heeler/australian Shepherd
Dog,Button,Button,7,Cockalier
Dog,Missy Princess,Missy,14,Cocker Spaniel
Dog,Prince,Prince,7,German Shepherd/golden Retriever
Dog,Samuel,Sam,8,Golden Retriever
Cat,Wolfe,Buddu,11.5,Domestic Shorthair
Cat,Muppet,Muppy,6,Tabby
Bird,Bruce,Brucey,10,Budgerigar
Dog,Precious Fudge,Miss Precious,12,Chocolate Lab/collie
Dog,truffles,truffs,11,Chocolate Poodle
Dog,woodland,Woody,4,Long-haired Chihuahua
Rat,Tomasa,Tommy,1.833333333,Unknown
Dog,Heath M&M,Mr. Peaf,8,Australian Cattle Dog
Dog,Mosley,Mr. Mosley,6,Pitbull/terrier
Dog,Peter,Mr. Peter,3,Unknown
Cat,Miss Lucy,Lucy,4,Siamese
Cat,Miss Molly,Molly,3,Unknown
Cat,Luna,Luna,0.333333333,Ragdoll
Dog,Sammy,Sammy,12,Shi Tzu Mix
Dog,Theodore Barkalot,Teddy,8,Bichon Havanese
Other,Delphine,,2,Speckledys
Dog,d'Artagnan,Dart,17,Pug
Cat,Fire,Fire,0.25,Shorthair
Cat,Ash,Ash,0.25,Shorthair
Cat,Kami,Kam,1,Long Hair
Cat,Kit Kat,Kit,0.166666667,Medium Hair
Dog,Celsius Pele Amadeus Cartier,Celsius,11,Black Labrador Retriever
Dog,Lando Calrisian,Lando,4,Labrador
Dog,Obi-Wan,Obi,2,Labrador
Dog,Titus Sirius Icarus Cartier,Titus,10,Black Labrador Retriever Mix
Dog,Samuel T Dogg,Sam,8,Labrador
Cat,Puka Shell,Puka,3,Unknown
Cat,Lily Pad,Lily,1.5,Unknown
Dog,Oreo Ann,Oreo,11,Unknown
Dog,Oliver,Ollie,7,Unknown
Dog,Stamford,Stamford,10,Bichon Frise
Dog,Bentley,Bentley,4,Chocolate Lab
Dog,Lulu,Lulu,10,Jack Russell
Dog,Ella,Elephant,8,Retriever X Labrador
Dog,Roxy,Roxy,5,German Shepherd
Cat,Andrew Angela,Andie,1.5,American Shorthair
Cat,Cricket,Creekee,8,American Shorthair
Dog,Desmond,Dez,8,English Black Labrador
Cat,Tallulah May,Chunky butt,2,American Shorthair
Dog,Stella,Stella,9,Hunterway X Collie
Cat,Snowflake,Snow / Snowy,11,Maine Coon Mix
Dog,Sheena,Beena,12,Goldendoodle
Cat,Rico,Rico,13,Unknown
Cat,Sirius Black,Chonk,4,Unknown
Cat,Bellatrix Lestrange,Bella,2,Unknown
Dog,Perry the Poodle,Perry,2,Standard Poodle
Dog,Cody the Corgi,Cody,3,Pembroke Welsh Corgi
Cat,Princess Penelope Pineapple Pizza,Kitty,3,Calico
Cat,Mel,Melzinga,3,Unknown
Dog,Ginevra Molly,Ginny,0.346153846,Golden Retriever
Cat,Mel de Melissa Duarte Brandizzi,Mel,3,Unknown
Cat,Mila Vilela Brandizzi,Mila,1,Unknown
Cat,Sushi,Baby / Sushi Burger,14,Black Cat
Dog,Riley,"Riley or Ri (pronounced RHY), but then there’s a bunch of nicknames like (Riley Roo, Roo, Ri Ri, Bud, Buddy, Bub, etc)",4,Husky
Dog,Cleopatra,Cleo,3,Greyhound
Dog,Coco,Coco,10,Corgi
Dog,Captain,Captain aka Cappie,14,Husky
Dog,Buddy,Buddy,8,Mutt
Dog,Magnolia Mae,Maggie,2,Corgi
Dog,Sam,Sammy,5,Border Collie
Frog,Lily,Lily,1,Unknown
Dog,Zoey,Zo,4,Mutt
Cat,Sammy,Sammy,9,Unknown
Cat,Tika,Tika,8,Unknown
Cat,Prince William,William,9,Unknown
Dog,Chip,Chippers,2,Golden Retriever
Spider,Rosie,Rosie,6,Chilean Rose Hair Tarantula
Cat,Zoey,Zoey,5,Tabby
Cat,Stella Lou,Stella,2,Tabby
Dog,Snickers,Snick,8,Labrador
Dog,Max,Max,12.5,Labrador
Dog,Leeloo,Leeloo,2,Labradoodle
Dog,Owen,Owen,13,Ridgeback
Dog,Daisy May,Daisy,11,Golden Retriever
Cat,Maria,Maria,8.5,Mix
Dog,Sunshine,Sunny,4,Pyrador
Cat,Penelope,Penelope,9,Calico
Gecko,Pebbles,Peb,4,Leopard Gecko
Dog,Freskin,Fattima Bouffants,13,Black Labrador Retriever
Dog,Philippa,Pippa,4,American Hairless Terrier
Dog,Lillie (Lilian now that she’s older),Lillie,5,Boxer
Cat,Callie,Callie,15,Unknown
Dog,Dr. Wolf Barker,Wolfie,7,Mixed
,MD PhD DOG,,,Unknown
Dog,Toby,Tobias,10,Bichon Frise
Cat,Mackintosh,Milo,10,Street Corner
Dog,Alice,Alicima Bouffants,11,Bichon Frise
Dog,Dee Dee,Deedle Dumpling,10,Bichon Frise
Dog,Oliver,Oliver,12,Bichon Frise
Dog,Reuben,Reuben,12,Bichon Frise
Dog,Mowgli,"Mowgli, Mr. Tude (when he's sassy)",3.5,Yorkiepoo
Dog,Toby,Toby,12,Labrador Retriever
Gerbil,Salt,Salt,2,Unknown
Gerbil,Pepper,Pepper,2,Unknown
Cat,Shaka,Shaka,9,Siamese
Cat,Zia,Zia,12,Siamese
Dog,Buddy,Buddy,11,Mutt/mixed
Dog,Bella Sitka LASTNAME,"Bell, Bella, Pretty",15,Mianture American Eskimo
Dog,Monty,Montgomery of Fitzgerald,8,Labrador Retriever
Dog,Luna Lastname,"Luna, Loon, Loonie, Miss Loon, Wiggles",0.75,Doxin
Bird,Vaillante,Vaillant,5,Unknown
Dog,Echo Last Name,Echo,12,Mianture American Eskimo
Dog,Nuffin,Nuffin,6,Golden Retriever
Cat,Tauriel,Tauriel,4.5,Domestic Shorthair
Cat,Garbanzo,Bean,4,Domestic Shorthair
Dog,Mars,Chano,9,Corgi
Dog,Calhoun Richard Anderson du Nord,Cal,3.5,Golden Retriever
Dog,Charlie Brown,"Charlie, Charizard, Charles",10,Labrador Retriever
Dog,Bixby Lucas,Bixby,1,Black Lab
Cat,Luna Linetti,Luna,1,Black Cat
Dog,Taco,"Taca Taca, snorticus",13,French Bulldog/boston Terrier Mix
Dog,Belle,Jelly Belly,3,Beagle Mix
Dog,Jimmy,Jimmy,3,Jack Russell Terrier
Hamster,Wobbles,Wobbles,0.833333333,Syrian Hamster
Cat,Buddha,Buddha,15,Domestic Shorthair
Dog,Miles,Miles,10,Redbone Coonhound
Dog,Eleanor Rose,Elly,5,Golden Retriever
Cat,Charlotte May,Charlotte,4,Brown And White Tabby
Dog,Cooper Jay Nigel Winston,Cooper,8,Yorkie Mix
Dog,Buddy Augusto,Buddy,14,Cocker Spaniel
Dog,Dash,Dash,7,Pit Bull Mix (and Very Good Boy)
Cat,Calvin Coolidge Cat,Cal,17,Siamese
Cat,Gracie Coolidge Cat,Gracie,16,Russian Blue
Dog,Opie,Dope/ Opie,11,Golden Retriever
Dog,Georgia,Georgia,3,Unknown
Cat,Emile,Mealsies,6,French Charteux
Cat,Zoe,Zoe,3,Mixed Breed Cat
Cat,Malcolm,Mal,3,Tabby
Dog,Dino,Dino,Deceased,Keeshound
Cat,Molly,Molly magoo,1,Mixed Breed
Cat,Bruce Springsteen,Bruce,24,Cat
Dog,Penny,Penny,10,"Beagle, Miniature Pinscher"
Cat,Raven,Raven,6,Black Shorthair Cat
Cat,Clarabelle,Clarabelle,7,Polydactyl Shorthair Cat
Dog,Alex’s Fiesty Girl Bailey Balogh,Bailey,10.5,Golden Retriever
Dog,Rey,Reymundo,2.5,Jack Russell/chihuahua
Dog,Uwe,Uwe,4,Golden Boy
Dog,Millie Betty,Mill,1.5,Dalmatian
Dog,Henry,Henny,1,Dalmatian
Dog,Daisy May,Daisy,13,Mutt
Dog,Chamomile June,Cammie,9,Cocker Spaniel
Dog,Chapman,Chapman,15,Black Lab
Dog,Tucker,Tucker,0.75,Mini Australian Shepard
Dog,Chappelle,Mutt,7.75,Dachshund And Tibetan Spaniel
Cat,Wilhelmina Rae,Willa,5,Unknown
Cat,Frances Louise,Frankie,6,Unknown
Cat,Victoria Susan,Tori,6,Unknown
Cat,Ossana Mae,Ossie,5,Unknown
Dog,Bella,Bella,11,Greater Swiss Mountain Dog
Dog,Toby Wan Kenobi,Toby,1,Golden Retriever
Dog,Daisy,Daisy,12,Labrador
Dog,Beaucoup du Chien,Beau,Deceased,Newfoundland
Dog,Pumpkin,Pumpkin,Deceased,Yellow Labrador
Dog,Poquit,Poquit,Deceased,Chocolate Lab
Cat,Orange Laurie,Orie,Deceased,Unknown
Cat,Sunset,Sunny,Deceased,Unknown
Dog,Rosie,Rosie,9,Golden Retriever
Cat,Matilda,Matilda,4,Dsh (tuxedo)
Dog,Murphy,Murphy,10,Yorkshire Terrier
Dog,Giacomo Science,Giacomo,6,Bernese Mountain Dog
Dog,Zuul,Zuul,5,Pitbull/boxer Mix
,minion of Gozer,,,Unknown
Dog,Trogdor Jealous,Dora,14,Mix
Cat,Idalou,Lou,59,Domestic Shorthair
Dog,Professor Tuxedo,Tux,1,Bernese Mountain Dog
Dog,Bodie,Bodie,8,Golden Retriever
Dog,Zoey,Zoey,5.5,Labradoodle
Cat,Eddy Jefferson,Eddy,4,Cat
Dog,Joel Carlos,Joel,3,Beagador
Dog,Lola,Lola,1,English Cocker Spaniel
Cat,Margot Mae,Margot,4,Domestic Shorthair
Dog,Rufus,Rufus,15,Cairn Terrier
Dog,Sadie,Bubba,12,Goldendoodle
Cat,Chester,Kiddo,1,Unknown
Dog,Zoey Deschanel,Zo,12,Bichon Frise
Dog,Cooper,Coop,6,Goldendoodle
Dog,Captain Goose,Goose,1,Who Knows? (foster)
Dog,Mr Doctor Professor Constable Detective Brick,Brick,8,British Bulldog
Dog,Ellie Sattler,El,1,Pibble
Cat,Lily,little shit,4,Unknown
Dog,Juke,Juke,4,Dachshund
Dog,Blue,Blue,0,Chocolate Lab
Dog,Kiefer Bartholomew,Kief,9,Belgian Shepard
Dog,Jackson,Jax,5,Labradoodle
Cat,Marzipan,Pan,2,Unknown
Dog,Zeta bear,Bear,6,German Shepherd
Cat,Sunny,Sun Bun or just Bun,0.166666667,Unknown
Hedgehog,Professor Minerva McGonaquill,Minnie,2.5,African Pygmy
Dog,Minnie,MinniePin,2,Mutt
Fish,Fsh,Fsh,10,"Mexican Blind Cave Tetra (therefore, It Was Born With No Eyes (so It Has No “i’s In Its Name))"
Dog,Dixie,Dixie,15,Shepherd Mix
